latitude,longitude,altitude,geometry,@id,landuse,name,type,@geometry,imagery_used,created_by,highway,name:fr,wikidata,wikipedia,amenity,religion,operator,resource,substance,name:kn,material,abandoned:landuse,disused,barrier,source,note,loc_name:hi,man_made,addr:housenumber,alt_name,operator:type,natural,hazard,disused:landuse,abandoned:man_made,boundary,contamination,description,informal,old_name
17.6158623,79.5435858,,Point,way/374399853,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6080224,79.5726722,,Point,way/374399855,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6151518,79.5495456,,Point,way/374399856,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6159879,79.5413347,,Point,way/374399857,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5777722,79.5588862,,Point,way/374401815,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5716691,79.7188509,,Point,way/374402460,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.7919187,79.6053408,,Point,way/374403081,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.790886,79.6052234,,Point,way/374403083,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6161516,79.5390203,,Point,way/374403136,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6152936,79.5391476,,Point,way/374403137,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6116619,79.545134,,Point,way/374403138,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6112609,79.5460284,,Point,way/374403142,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6162846,79.5407145,,Point,way/374403144,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6709297,79.4929309,,Point,way/374404134,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6260609,79.4865758,,Point,way/374404138,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6714786,79.4925717,,Point,way/374404139,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6369453,79.5057071,,Point,way/374404140,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6322138,79.5245666,,Point,way/374404141,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6695,79.4969852,,Point,way/374404147,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.910609,74.8910149,,Point,way/378246875,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.934728,80.1009535,,Point,way/383857988,landfill,Kannadapalayam Dumpyard,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3108456,79.2901631,,Point,way/390036974,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3902776,79.3373292,,Point,way/391554078,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1136766,76.5567864,,Point,way/394927514,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1085256,76.5559464,,Point,way/394927515,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1772282,73.045899,,Point,way/395236229,landfill,Diva Dumping Ground,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1769925,73.0440316,,Point,way/395236230,landfill,Diva Dumping Ground,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.8911002,72.9357113,,Point,way/395250720,landfill,Uran Dumping Ground,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.8352555,94.906471,,Point,way/402849317,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.8502488,94.9105722,,Point,way/402849321,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.841217,94.9089226,,Point,way/402849322,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5674166,77.3406796,,Point,way/402877175,landfill,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4194146,76.8556475,,Point,way/404674361,landfill,,,center,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,
9.5912992,76.5596914,,Point,way/409736544,landfill,Vadavathoor MSW dumping yard,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
